cz_num,n,Low roof building,In IBZ/low-rise manufacturing zone,Low-rise residential zone,In historic district,Owner owns other nearby buildings,In federal disadvantaged community,LL97 covered building,High solar radiation pootential,In state disadvantaged community,avg_suitability,avg_energy_MWh,total_energy_MWh
1,17,0.5882352941176471,1,NA,NA,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.3235294117647059,1,6.882352941176471,395.09277325447056,6716.5771453259995
10,97,0.5257731958762887,0.9690721649484536,0.030927835051546393,NA,0.14948453608247422,0.4948453608247423,0.5051546391752577,0.327319587628866,1,6.164948453608248,307.8332119801557,29859.8215620751
11,207,0.13043478260869565,0.033816425120772944,0.0966183574879227,0.004830917874396135,0.05555555555555555,0.6956521739130435,0.8405797101449275,0.14251207729468598,0.3526570048309179,3.8067632850241546,127.40877651743527,26373.6167391091
12,25,0.04,NA,1,NA,0.98,0.8,0.96,0.08,0.72,6.64,86.767851440656,2169.1962860164
2,79,0.5822784810126582,0.810126582278481,0.08860759493670886,0.02531645569620253,0.17721518987341772,NA,0.5189873417721519,0.3164556962025316,0.8227848101265823,5.253164556962025,201.78245686498988,15940.8140923342
3,626,0.5351437699680511,0.7188498402555911,0.18849840255591055,NA,0.2795527156549521,0.7651757188498403,0.5255591054313099,0.25758785942492013,0.9984025559105432,6.381789137380192,232.55372284255688,145578.6304994406
4,84,0.47619047619047616,0.30952380952380953,0.34523809523809523,NA,0.5714285714285714,0.23809523809523808,0.8928571428571429,0.13095238095238096,0.8452380952380952,6.142857142857143,148.70071473253725,12490.86003753313
5,35,0.14285714285714285,0.17142857142857143,0.8285714285714286,NA,0.7571428571428571,0.6571428571428571,0.7714285714285715,0.2,1,6.4,132.1007934684343,4623.5277713952
6,78,0.47435897435897434,0.6666666666666666,0.3333333333333333,NA,0.33974358974358976,1,0.5512820512820513,0.3162393162393162,1,6.67948717948718,188.4389588063218,14698.2387868931
7,17,0.23529411764705882,NA,0.058823529411764705,NA,NA,0.7058823529411765,0.8235294117647058,0.4117647058823529,0.7058823529411765,4.411764705882353,153.7984651252059,2614.5739071284997
8,84,0.9047619047619048,0.9047619047619048,0.08333333333333333,NA,0.25,0.6547619047619048,0.35714285714285715,0.34523809523809523,1,7.0476190476190474,314.47683401946193,26416.0540576348
9,34,0.3235294117647059,0.38235294117647056,0.6176470588235294,NA,0.6470588235294118,1,0.9117647058823529,0.27941176470588236,0.9705882352941176,7.852941176470588,511.00184827971174,17374.0628415102
Not in a CZ,5887,0.3624936300322745,0.2140309155766944,0.5128248683540003,0.030745710888398167,0.2332257516561916,0.5310005095974181,0.6879565143536606,0.1964922711058264,0.4645829794462375,5.106505860370308,186.26408296033097,1096536.6563874683
All,7270,0.38198074277854194,0.2840440165061898,0.4546079779917469,0.02530949105914718,0.24284731774415405,0.5570839064649243,0.6730398899587345,0.20350756533700137,0.5423658872077028,NA,NA,NA
