reporting_period,project_number,legacy_project_number,street_address,city,county,state,zip_code,incorporated_municipality,municipality_type,census_tract,nys_disadvantaged_community_status,climate_and_economic_justice_screening_tool_status,sector,program_type,solicitation,electric_utility,purchase_type,date_application_received,date_install,project_status,contractor,minority_or_women_owned_business_enterprise_mwbe,inverter_manufacturer,primary_inverter_model_number,inverter_quantity,pv_module_manufacturer,pv_module_model_number,pv_module_quantity,project_cost,total_nyserda_incentive,affordable_solar_residential_adder,affordable_multifamily_housing_incentive,community_adder,inclusive_community_solar_adder,expanded_solar_for_all_adder,brownfield_landfill_adder,canopy_adder,prevailing_wage_adder,totalnameplatekwdc,expected_kwh_annual_production,remote_net_metering,community_distributed_generation,green_jobs_green_new_york_participant,latitude,longitude,georeference
2023-11-30T00:00:00Z,10437,4884-100712,1001 Stanley Ave,Brooklyn,Kings,NY,11208,New York,City,36047111600,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2016-07-11T00:00:00Z,2018-11-01T00:00:00Z,Complete,IPPsolar LLC (formerly Blueland LLC),No,SolarEdge Technologies Ltd.,SE14.4KUS,6,Talesun Solar,TP672P-310,342,240296,60209,0,0,0,0,0,0,0,0,106.02,122289,NA,Yes,No,40.66427074,-73.87278218,POINT (-73.87278218 40.66427074)
2023-11-30T00:00:00Z,88748,NA,650 Casanova St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-13T00:00:00Z,2019-04-26T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,13,Silfab,SLGX 340 White,741,692835,102500,0,0,0,0,0,0,0,0,251.94,299949,NA,Yes,No,40.81268736,-73.88970789,POINT (-73.88970789 40.81268736)
2023-11-30T00:00:00Z,88369,NA,330 Coster St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-12T00:00:00Z,2019-03-25T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,3,Silfab,SLGX 340 White,171,159885,38663,0,0,0,0,0,0,0,0,58.14,70810,NA,Yes,No,40.80773111,-73.8856348,POINT (-73.8856348 40.80773111)
2023-11-30T00:00:00Z,88981,NA,1290 Oak Point Ave,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-23T00:00:00Z,2019-03-21T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,5,Silfab,SLGX 340 White,285,266475,56105,0,0,0,0,0,0,0,0,96.9,116691,NA,Yes,No,40.81012451,-73.88572059,POINT (-73.88572059 40.81012451)
2023-11-30T00:00:00Z,88966,NA,509 Manida St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-23T00:00:00Z,2019-04-26T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,4,Silfab,SLGX 340 White,228,213180,47384,0,0,0,0,0,0,0,0,77.52,92292,NA,Yes,No,40.81060528,-73.88750585,POINT (-73.88750585 40.81060528)
2023-11-30T00:00:00Z,88903,NA,1255 Oak Point Ave,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-23T00:00:00Z,2019-05-08T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,9,Silfab,SLGX 340 White,488,456280,87164,0,0,0,0,0,0,0,0,165.92,195267,NA,Yes,No,40.81006174,-73.88747123,POINT (-73.88747123 40.81006174)
2023-11-30T00:00:00Z,88839,NA,1169 E 156 St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-15T00:00:00Z,2019-04-26T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,5,Silfab,SLGX 340 White,270,252450,53810,0,0,0,0,0,0,0,0,91.8,110344,NA,Yes,No,40.81278733,-73.89318329,POINT (-73.89318329 40.81278733)
2023-11-30T00:00:00Z,88452,NA,1187 E 156 St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-15T00:00:00Z,2019-04-26T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,3,Silfab,SLGX 340 White,171,159885,38663,0,0,0,0,0,0,0,0,58.14,66037,NA,Yes,No,40.81249876,-73.89250587,POINT (-73.89250587 40.81249876)
2023-11-30T00:00:00Z,89018,NA,540 Manida St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-23T00:00:00Z,2019-04-26T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,7,Silfab,SLGX 340 White,399,373065,73547,0,0,0,0,0,0,0,0,135.66,163368,NA,Yes,No,40.81128237,-73.88742634,POINT (-73.88742634 40.81128237)
2023-11-30T00:00:00Z,88924,NA,520 Coster St,Bronx,Bronx,NY,10474,New York,City,36005009300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-23T00:00:00Z,2019-03-21T00:00:00Z,Complete,Eldor Contracting Corporation,No,SolarEdge Technologies,SE14.4KUS,6,Silfab,SLGX 340 White,342,319770,64826,0,0,0,0,0,0,0,0,116.28,138438,NA,Yes,No,40.81088372,-73.88636092,POINT (-73.88636092 40.81088372)
