OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,USR_MWh,ElcPrd_MWh
1,2028380027,2008024.000000000000000,1926.000000000000000,346390.000000000000000,2100.000000000000000,Photogramm,{45C8F968-0D3E-4FB4-99AF-38A4A45A7375},88.000000000000000,76.799999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2028380027, ,13129.536196799999743,0.000000000000000,2008024,6300.000000000000000,1166.518608939999922,682.751348147000044,93.946585505000002
2,2033270089,2017770.000000000000000,1928.000000000000000,673010.000000000000000,2100.000000000000000,Photogramm,{7DC70519-6732-4B62-8DF8-1017EC946C10},161.000000000000000,13.690000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,2033270089, ,9561.221843280000030,0.000000000000000,2017770,8600.000000000000000,1077.679938029999903,861.030617810999956,118.477813010999995
6,2032790025,2016414.000000000000000,1993.000000000000000,497132.000000000000000,2100.000000000000000,Photogramm,{892E73C6-2D72-4031-8A8D-4A971293F454},80.000000000000000,57.211151790000002,8/22/2017 0:00:00,00:00:00.000,Constructed,2032790025, ,8221.153449870000259,0.000000000000000,2016414,5100.000000000000000,1169.561109360000046,554.145027150000033,76.250355735799999
12,2033180015,2017499.000000000000000,1938.000000000000000,105039.000000000000000,2100.000000000000000,Photogramm,{9FD24C51-B1D1-4588-AEE4-A6C0D412BBF7},150.000000000000000,66.739999999999995,8/22/2017 0:00:00,00:00:00.000,Constructed,2033180015, ,10401.168821600000228,0.000000000000000,2017499,5000.000000000000000,1168.612717290000091,542.838895424000043,74.694632010299998
14,2025960040,2089852.000000000000000,1992.000000000000000,110974.000000000000000,2100.000000000000000,Photogramm,{7B3CF214-405B-4AC1-9737-B741D3D03858},11.000000000000000,39.229999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2025960040, ,16015.230026400000497,0.000000000000000,2089852,12200.000000000000000,1175.534980650000080,1332.372724009999956,183.334486824000010
15,2042320001,2047231.000000000000000,1968.000000000000000,456013.000000000000000,2100.000000000000000,Photogramm,{60197E69-9358-42F1-A1C6-9FC1B6C36B12},23.000000000000000,39.729990039999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2042320001, ,13085.274587199999587,0.000000000000000,2047231,11000.000000000000000,1096.998096810000106,1121.060123649999923,154.257873014000012
18,2049030042,2065948.000000000000000,1953.000000000000000,325044.000000000000000,2100.000000000000000,Photogramm,{80518076-1B49-4645-B669-8EA91B4BF7DE},139.000000000000000,14.792726460000001,8/22/2017 0:00:00,00:00:00.000,Constructed,2049030042, ,20966.788303799999994,0.000000000000000,2065948,20800.000000000000000,1174.145551529999921,2268.901371420000032,312.200828707000028
20,2025890016,2004004.000000000000000,1931.000000000000000,807191.000000000000000,2100.000000000000000,Photogramm,{2B000F21-3A6B-43CE-8109-5BC8810A15C2},15.000000000000000,50.869999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2025890016, ,30560.624977499999659,0.000000000000000,2004004,25100.000000000000000,1178.387564000000111,2747.844912749999821,378.103459993999991
33,2033430204,2018220.000000000000000,1925.000000000000000,202598.000000000000000,2100.000000000000000,Photogramm,{A5A1AE66-CD35-484B-A14A-71CE96944588},167.000000000000000,60.490000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,2033430204, ,12374.980985000000146,0.000000000000000,2018220,5300.000000000000000,1145.774288540000043,564.163893130000019,77.628951694700007
34,2045520010,2111187.000000000000000,1931.000000000000000,951263.000000000000000,2100.000000000000000,Photogramm,{188CE2E2-F27E-4117-B490-E208B123669E},135.000000000000000,11.279999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,2045520010, ,9055.257797239999491,0.000000000000000,2111187,8100.000000000000000,1157.640091510000047,871.141941232000022,119.869131113999998
