OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,Us_SR_MWh,ElcPrd_MWh
3,5032470001,5104842.000000000000000,1989.000000000000000,137150.000000000000000,2100.000000000000000,Photogramm,{52F64901-D7D2-49A2-BEF7-A835D5ED19A9},32.000000000000000,43.380000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5032470001, ,12147.168650100000377,0.000000000000000,5104842,9400.000000000000000,1111.278755999999930,970,133.472000000000008
80,5010230004,5023987.000000000000000,1931.000000000000000,274037.000000000000000,2100.000000000000000,Photogramm,{D791D03C-AC93-47C3-AD0D-A58A4E5DE7B1},34.000000000000000,15.510000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5010230004, ,10755.423765400000775,0.000000000000000,5023987,10800.000000000000000,1159.881280399999923,1164,160.166400000000010
81,5072060061,5092984.000000000000000,1986.000000000000000,536090.000000000000000,2100.000000000000000,Photogramm,{7CA892C6-DB2C-4A42-BB08-757E59514068},42.000000000000000,23.530000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5072060061, ,9974.647715619999872,0.000000000000000,5092984,9000.000000000000000,1159.150322129999950,969,133.334399999999988
90,5015480100,5151294.000000000000000,2001.000000000000000,933650.000000000000000,2100.000000000000000,Photogramm,{C376F9A7-23FD-4556-B352-7DB3352F2415},36.000000000000000,31.020000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5015480100, ,13089.058369000000312,0.000000000000000,5151294,10900.000000000000000,1186.374605230000043,1201,165.257599999999996
113,5012340052,5027918.000000000000000,1977.000000000000000,174116.000000000000000,2100.000000000000000,Photogramm,{7EAA3A9F-0778-4448-A4FF-2190A53620E3},23.000000000000000,72.855601859999993,8/22/2017 0:00:00,00:00:00.000,Constructed,5012340052, ,18535.941316100001131,0.000000000000000,5027918,10600.000000000000000,1101.425108140000020,1085,149.295999999999992
120,5017600035,5170188.000000000000000,2017.000000000000000,1283919.000000000000000,5110.000000000000000,Other (Man,{46B3CDA9-8145-48FF-A962-31AB5C8FEF61},6.000000000000000,53.000000000000000,12/27/2019 0:00:00,00:00:00.000,Constructed,5017600035, ,56951.574348599999212,0.000000000000000,5170188,56700.000000000000000,1184.948911960000032,6242,858.899199999999951
149,5070720001,5107799.000000000000000,1931.000000000000000,803192.000000000000000,2100.000000000000000,Photogramm,{2F7978D1-39F5-4F67-A85A-B4D207A9CEF9},21.000000000000000,46.100000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5070720001, ,19338.795226700000057,0.000000000000000,5107799,13900.000000000000000,1124.599762179999971,1452,199.795199999999994
172,5010530138,5110055.000000000000000,1957.000000000000000,715693.000000000000000,2100.000000000000000,Photogramm,{E0421798-F889-4001-BBE5-5B064777238B},28.000000000000000,18.058111920000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5010530138, ,12581.332860799999253,0.000000000000000,5110055,12200.000000000000000,1181.297463339999922,1339,184.246399999999994
177,5035320500,5109567.000000000000000,1960.000000000000000,253310.000000000000000,2100.000000000000000,Photogramm,{6E8B02EE-D2A7-423F-BC9F-C3842E90E0BB},37.000000000000000,56.461715820000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5035320500, ,8264.253474679999272,0.000000000000000,5109567,3400.000000000000000,1156.964052089999996,365,50.223999999999997
184,5004910046,5013200.000000000000000,1931.000000000000000,748587.000000000000000,2100.000000000000000,Photogramm,{D93F3F62-69B9-48AE-91BD-2AE4CCDF08B5},8.000000000000000,21.090000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5004910046, ,8634.842438879999463,0.000000000000000,5013200,8700.000000000000000,1177.833595710000054,952,130.995200000000011
