bin,address,heightroof,zonedist1,ratio_residfar,histdist,ElcPrd_MWh,ownername,zipcode,bct2020,agent_name,head_name,officer_name,manager_name,owner_add,agent_add,head_add,officer_add,owner_cat,r_bldgtype,residential,bbl,f_lowroof,f_mzone,f_lowres,f_hd,f_mulbldg,f_disad,f_ll97,f_solrad,f_nys_dac,elcprd_MWh,index
3099098,459 SCHENECTADY AVENUE,67.91,R7-1,1.3575581395348837,NA,126.847298411,457 SCHENECTADY LLC,11203,3088001,MARC BARRON,MARC BARRON,NA,MARC BARRON,222 LENOX RD LA BROOKLYN NY 11226,222 LENOX RD LA BROOKLYN NY 11226,222 LENOX RD LA BROOKLYN NY 11226,NA,Unknown (likely private),multiple unit,1,3045880001,0,0,0,0,0,0,2,1,0,126.847298411,3
3341882,5605 2 AVENUE,64.47,R6A,1.1666666666666667,NA,81.0364315306,NHPF-HARBOR HILL HOUSING DEVELOPMENT FUN D CORP.,11220,3002200,SARAH CALVERY,JAMES CARMICHAEL,NA,DEBORAH ECHEVARRIA,795 RIDGE LAKE BLVD 300 Memphis TN 38120,795 RIDGE LAKE BLVD 300 Memphis TN 38120,795 RIDGE LAKE BLVD 300 Memphis TN 38120,NA,Tax-exempt property,not residential,0,3008370001,0,0,1,0,0,1,2,0,1,81.0364315306,5
3332220,110 COLUMBIA STREET,56.0,R5,1.088,NA,100.311310922,NYC HOUSING AUTHORITY,11231,3008500,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",multiple unit,1,3005380001,0,0,1,0,2,1,2,1,1,100.311310922,8
3116615,80 LENOX ROAD,69.06206237,R7A,0.8275,NA,73.4421752911,80 LENOX LLC,11226,3079602,EDWARDS DARWIN,EDWARDS DARWIN,EDWARDS DARWIN,EDWARD DARWIN,438 KINGSTON AVE  BKLYN NY 11225,438 KINGSTON AVE  BKLYN NY 11225,438 KINGSTON AVE  BKLYN NY 11225,438 KINGSTON AVE  Brooklyn NY 11225,Unknown (likely private),multiple unit,1,3050830044,0,0,0,0,0,0,2,0,0,73.4421752911,2
3345502,5602 AVENUE M,11.01,R3-2,1.9,NA,136.583941147,RC CH MARY QUEEN HEAV,11234,3069000,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3078810033,2,0,1,0,0,0,2,1,0,136.583941147,6
3345789,2323 BATCHELDER STREET,56.78947884,R5,0.76,NA,77.0140664491,NYC HOUSING AUTHORITY,11229,3057200,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",multiple unit,1,3074080001,0,0,1,0,2,1,2,0,1,77.0140664491,7
3332345,356 DEVOE STREET,30.28,M1-1,Inf,NA,119.436526997,356 DEVOE STREET BRK LLC,11211,3048100,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3029240019,0,1,0,0,0,1,0,1,1,119.436526997,4
3321408,620 EAST 108 STREET,68.39439385,R5,0.616,NA,51.897965362,NYC HOUSING AUTHORITY,11236,3098200,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",multiple unit,1,3081740001,0,0,1,0,2,1,2,0,1,51.897965362,7
3118528,201 EAST 19 STREET,64.97,R7A,0.905,NA,69.5686536844,JACKSON SURREY BEVERLY LLC,11226,3051400,ERIC CRUZ,ALAN FISHER,DAVID LANSEY,KIRK THOMPSON,152 W 57 ST 12 FL NEW YORK NY 10019,152 W 57 ST 12 FL NEW YORK NY 10019,152 W 57 ST 12 FL NEW YORK NY 10019,152 W 57 ST 12 FL NEW YORK NY 10019,Unknown (likely private),multiple unit,1,3051500001,0,0,0,0,0,1,2,0,0,69.5686536844,3
3335883,225 CADMAN PLAZA EAST,257.90089732,R7-1,2.8343023255813953,NA,478.083039636,"FOSTER, ROGELIO E",11201,3001300,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3000850100,2,0,0,0,0,0,2,2,1,478.083039636,7
