OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
5	1021700070	1076754	1991	293156	2100	Photogramm	{49287302-FCE4-4622-93E1-7E7EAE92CB97}	68	25.38	8/22/2017 0:00	00:00.0	Constructed	1021700070	 	9267.893298	0	1076754	5600	954.6647284	496.6715112	68.34199994
24	1010990012	1027137	1946	736641	2100	Photogramm	{4F30C643-4D78-43E0-ABF2-E7C78F38BCF3}	19	52.11	8/22/2017 0:00	00:00.0	Constructed	1010990012	 	8948.701816	0	1027137	8300	1148.511014	885.6122235	121.860242
26	1006920041	1012299	1928	182937	2100	Photogramm	{EAEA3213-B420-43BA-B920-248C86723275}	7	83.27	8/22/2017 0:00	00:00.0	Constructed	1006920041	 	13607.82554	0	1012299	9800	1094.866139	996.8216129	137.1626539
30	1008160031	1078658	1964	766335	2100	Photogramm	{DB0252B6-0CD7-4555-BD09-3BE8599B8DD3}	34	186.72	8/22/2017 0:00	00:00.0	Constructed	1008160031	 	11713.86644	0	1078658	5700	1014.433743	537.1911977	73.9175088
42	1011500041	1030261	1926	365840	2100	Photogramm	{283944A5-8998-48F2-8115-D86076D0E193}	90	167.22	8/22/2017 0:00	00:00.0	Constructed	1011500041	 	9102.680501	0	1030261	4700	1025.587746	447.8174647	61.61968314
46	1019310001	1058652	1907	427424	2100	Photogramm	{F9556FB6-CE83-4755-9C72-2F0BE0F68476}	29	79.68	8/22/2017 0:00	00:00.0	Constructed	1019310001	 	11292.96503	0	1058652	8900	1130.923034	935.0899769	128.6683808
60	1014110001	1082187	1930	103549	2100	Photogramm	{06D6562D-7069-4B6F-94F2-EE351D32875B}	59	199.31	8/22/2017 0:00	00:00.0	Constructed	1014110001	 	24148.61445	0	1082187	13400	1065.945356	1326.997443	182.5948481
61	1003820022	1004565	1953	44224	2100	Photogramm	{6FDBA20F-2462-4CDA-817C-2A2CFF39B25D}	9	31.2	8/22/2017 0:00	00:00.0	Constructed	1003820022	 	8954.377501	0	1004565	8400	1100.275962	858.6402777	118.1489022
65	1008670070	1017224	1912	375296	2100	Photogramm	{07641D59-0CC7-4AF8-A047-E54D1F4C1063}	79	152.99	8/22/2017 0:00	00:00.0	Constructed	1008670070	 	26877.75269	0	1017224	14400	1003.509351	1342.499898	184.727986
66	1021790106	1064343	1920	275648	2100	Photogramm	{65724D52-F6A5-48C2-A01D-2572247788A5}	188	69.90023735	8/22/2017 0:00	00:00.0	Constructed	1021790106	 	12473.11202	0	1064343	9300	1080.449004	933.506976	128.4505599
73	1011840019	1030988	1926	602662	2100	Photogramm	{F84B95C1-4ABE-49E3-806B-F3E3D2CA455F}	72	164.6	8/22/2017 0:00	00:00.0	Constructed	1011840019	 	11959.49473	0	1030988	5400	1011.32644	507.3591147	69.81261418
76	1005770019	1009713	1930	703933	2100	Photogramm	{A1F1F3B7-CA18-4440-B2AE-B27E3D503B12}	30	83.52	8/22/2017 0:00	00:00.0	Constructed	1005770019	 	25381.03077	0	1009713	22100	1092.665988	2243.417194	308.6942059
78	1020090033	1060067	1920	182843	2100	Photogramm	{5905897F-6CCF-4E54-B555-408FA2ECC0D8}	15	92.47	8/22/2017 0:00	00:00.0	Constructed	1020090033	 	9240.537444	0	1060067	7800	1102.276542	798.7585384	109.9091749
83	1002330026	1003051	1930	434031	2100	Photogramm	{D9B4A02B-93D1-46E9-B5E0-125C62C09113}	17	171.3418713	8/22/2017 0:00	00:00.0	Constructed	1002330026	 	9351.345735	0	1003051	6900	1107.428898	709.8969146	97.68181545
84	1009910060	1083709	1973	643362	2100	Photogramm	{53CFD267-1B6A-4259-B945-8405ED22C5D1}	7	355.58	8/22/2017 0:00	00:00.0	Constructed	1009910060	 	10724.27173	0	1083709	3800	992.4546428	350.3681419	48.21065633
85	1017680021	1074329	1960	393752	2100	Photogramm	{8139540D-D208-4B34-A35E-157CA7FE81D2}	16	32.62998316	8/22/2017 0:00	00:00.0	Constructed	1017680021	 	12584.24652	0	1074329	9600	1028.414469	917.2120613	126.2083796
86	1022120001	1082036	1951	638774	2100	Photogramm	{7C349D2E-0BD7-44DD-80FE-5F94B51F6763}	21	41.74	8/22/2017 0:00	00:00.0	Constructed	1022120001	 	39481.23359	0	1082036	38400	1142.812542	4076.961103	560.9898478
87	1015120052	1047659	1962	76801	2100	Photogramm	{FC6ABC4D-74C8-4043-A56A-382D53EDFC02}	85	146.03	8/22/2017 0:00	00:00.0	Constructed	1015120052	 	8703.599812	0	1047659	3200	981.841259	291.8916033	40.16428461
88	1006940058	1012337	1934	280349	2100	Photogramm	{214EAF42-514E-4C6F-B469-8D856DC645BB}	8	64.08	8/22/2017 0:00	00:00.0	Constructed	1006940058	 	14208.81763	0	1012337	11000	1026.997737	1049.524346	144.41455
106	1020990049	1062472	1910	842222	2100	Photogramm	{D01868D8-D3A4-429B-AD8D-8CB7375ACFC9}	92	68.66	8/22/2017 0:00	00:00.0	Constructed	1020990049	 	11433.04681	0	1062472	9200	1137.45461	972.1924596	133.7736824
