BOROUGH,BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
BRONX,2215,116,5360 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,NA
BRONX,2215,116,5250 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,NA
BRONX,2215,116,69 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,NA
BRONX,2215,116,49 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,NA
BRONX,2215,623,125 WEST 228TH STREET,10463,MARBLE HILL,MARBLE HILL,8,NA
BRONX,2263,19,180 BROOK AVENUE,10454,MILL BROOK,MILL BROOK,1,NA
BRONX,2263,19,520 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,NA
BRONX,2263,19,530 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,NA
BRONX,2269,100,404 BROOK AVENUE,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,511 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,515 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,535 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,545 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,555 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,510 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,550 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,540 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,530 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,520 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2269,100,560 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,NA
BRONX,2271,1,505 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,NA
BRONX,2271,1,511 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,NA
BRONX,2271,20,423 SAINT ANNS AVENUE,10454,"BETANCES III, 9A",BETANCES,1,NA
BRONX,2272,5,521 EAST 146TH STREET,10455,BETANCES V,BETANCES,1,NA
BRONX,2272,38,525 EAST 145TH STREET,10454,BETANCES V,BETANCES,1,NA
BRONX,2272,38,527 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2272,38,545 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2272,38,547 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2282,57,463 EAST 137TH STREET,10454,"BETANCES II, 18",MITCHEL,1,NA
BRONX,2291,23,433 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,435 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,437 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,439 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,441 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,417 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,419 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,421 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,423 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,425 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
BRONX,2291,23,427 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,NA
