address,name,bbl
26 Sharpe Avenue,New World Prep Charter School,5010840059
15 BUSH STREET,RED HOOK WEST,3005330001
11 BUSH STREET,RED HOOK WEST,3005330001
38 BUSH STREET,RED HOOK WEST,3005330001
30 BUSH STREET,RED HOOK WEST,3005330001
428 COLUMBIA STREET,RED HOOK WEST,3005330001
420 COLUMBIA STREET,RED HOOK WEST,3005330001
416 COLUMBIA STREET,RED HOOK WEST,3005330001
414 COLUMBIA STREET,RED HOOK WEST,3005330001
444 COLUMBIA STREET,RED HOOK WEST,3005330001
450 COLUMBIA STREET,RED HOOK WEST,3005330001
464 COLUMBIA STREET,RED HOOK WEST,3005330001
472 COLUMBIA STREET,RED HOOK WEST,3005330001
470 COLUMBIA STREET,RED HOOK WEST,3005330001
466 COLUMBIA STREET,RED HOOK WEST,3005330001
484 COLUMBIA STREET,RED HOOK WEST,3005330001
486 COLUMBIA STREET,RED HOOK WEST,3005330001
17 LORRAINE STREET,RED HOOK WEST,3005330001
11 LORRAINE STREET,RED HOOK WEST,3005330001
124 BUSH STREET,RED HOOK EAST,3005380001
116 BUSH STREET,RED HOOK EAST,3005380001
167 BUSH STREET,RED HOOK EAST,3005380001
161 BUSH STREET,RED HOOK EAST,3005380001
75 BUSH STREET,RED HOOK WEST,3005380001
65 BUSH STREET,RED HOOK WEST,3005380001
80 BUSH STREET,RED HOOK WEST,3005380001
70 BUSH STREET,RED HOOK WEST,3005380001
31 CENTRE MALL,RED HOOK EAST,3005380001
95 CENTRE MALL,RED HOOK EAST,3005380001
93 CENTRE MALL,RED HOOK EAST,3005380001
100 CENTRE MALL,RED HOOK EAST,3005380001
94 CENTRE MALL,RED HOOK EAST,3005380001
92 CENTRE MALL,RED HOOK EAST,3005380001
40 CENTRE MALL,RED HOOK WEST,3005380001
38 CENTRE MALL,RED HOOK WEST,3005380001
30 CENTRE MALL,RED HOOK WEST,3005380001
626 CLINTON STREET,RED HOOK EAST,3005380001
624 CLINTON STREET,RED HOOK EAST,3005380001
451 COLUMBIA STREET,RED HOOK EAST,3005380001
453 COLUMBIA STREET,RED HOOK EAST,3005380001
467 COLUMBIA STREET,RED HOOK EAST,3005380001
465 COLUMBIA STREET,RED HOOK EAST,3005380001
493 COLUMBIA STREET,RED HOOK WEST,3005380001
495 COLUMBIA STREET,RED HOOK WEST,3005380001
507 COLUMBIA STREET,RED HOOK WEST,3005380001
505 COLUMBIA STREET,RED HOOK WEST,3005380001
754 HENRY STREET,RED HOOK EAST,3005380001
752 HENRY STREET,RED HOOK EAST,3005380001
772 HENRY STREET,RED HOOK EAST,3005380001
774 HENRY STREET,RED HOOK EAST,3005380001
831 HICKS STREET,RED HOOK EAST,3005380001
829 HICKS STREET,RED HOOK EAST,3005380001
791 HICKS STREET,RED HOOK EAST,3005380001
817 HICKS STREET,RED HOOK EAST,3005380001
815 HICKS STREET,RED HOOK EAST,3005380001
811 HICKS STREET,RED HOOK EAST,3005380001
131 LORRAINE STREET,RED HOOK EAST,3005380001
129 LORRAINE STREET,RED HOOK EAST,3005380001
123 LORRAINE STREET,RED HOOK EAST,3005380001
87 LORRAINE STREET,RED HOOK WEST,3005380001
79 LORRAINE STREET,RED HOOK WEST,3005380001
116 MILL STREET,RED HOOK EAST,3005380001
108 MILL STREET,RED HOOK EAST,3005380001
21 MILL STREET,RED HOOK EAST,3005380001
15 MILL STREET,RED HOOK EAST,3005380001
