cz_num,cz_name_all,n,Low roof building,In IBZ/low-rise manufacturing zone,Low-rise residential zone,In historic district,Owner owns other nearby buildings,In federal disadvantaged community,LL97 covered building,High solar radiation pootential,In state disadvantaged community,avg_suitability,avg_energy_MWh,total_energy_MWh
1,Eastchester,20,0.725,0.2,0.6,NA,0.5,0.8,0.65,0.275,1,7.45,267.200047242035,5344.0009448407
10,Harlem,57,0.3684210526315789,0.10526315789473684,NA,NA,0.4473684210526316,0.7192982456140351,0.8421052631578947,0.22807017543859648,0.8596491228070176,5.912280701754386,205.98679988929825,11741.24759369
11,Port Morris - Hunts Point,265,0.8283018867924529,0.9509433962264151,0.03773584905660377,NA,0.19622641509433963,1,0.3433962264150943,0.33962264150943394,1,7.083018867924529,416.18685947490115,110289.5177608488
12,Rikers Island,38,0.8026315789473685,NA,NA,NA,1,1,1,0.4868421052631579,1,9.552631578947368,990.5558228633947,37641.121268809
13,College Point,29,0.7586206896551724,0.9655172413793104,0.034482758620689655,NA,0.29310344827586204,1,0.6206896551724138,0.35344827586206895,1,7.758620689655173,428.57765323860343,12428.7519439195
14,Colleg Point - Whitestone,46,0.8152173913043478,0.9782608695652174,0.021739130434782608,NA,0.15217391304347827,1,0.5652173913043478,0.3804347826086957,1,7.586956521739131,438.44534385809345,20168.4858174723
15,College Point South,71,0.795774647887324,0.9577464788732394,0.04225352112676056,NA,0.21830985915492956,1,0.5211267605633803,0.3485915492957746,1,7.464788732394366,350.75412933860565,24903.543183041
16,Astoria,28,0.7142857142857143,0.14285714285714285,0.8571428571428571,NA,0.32142857142857145,1,0.4642857142857143,0.4523809523809524,1,7.357142857142857,273.43428620217855,7656.1600136609995
17,East Elmhurst,39,0.7051282051282052,0.46153846153846156,0.48717948717948717,NA,0.44871794871794873,0.5641025641025641,0.7692307692307693,0.46794871794871795,0.5641025641025641,7.794871794871795,784.8750387407,30610.1265108873
18,Flushing,6,0.9166666666666666,0.8333333333333334,0.16666666666666666,NA,NA,1,0.16666666666666666,0.375,1,6.666666666666667,336.67659859733334,2020.059591584
19,Ridgewood,35,0.8571428571428571,0.4857142857142857,0.5142857142857142,NA,0.15714285714285714,0.7142857142857143,0.5714285714285714,0.37857142857142856,0.6285714285714286,7.0285714285714285,583.0869935991743,20408.0447759711
2,Bay Plaza - Co-op City,19,0.631578947368421,0.05263157894736842,0.21052631578947367,NA,0.47368421052631576,NA,0.7368421052631579,0.3815789473684211,1,6.473684210526316,641.8415791468,12194.9900037892
20,Jamaica/St. Albans,36,0.875,0.9722222222222222,0.027777777777777776,NA,0.375,1,0.4444444444444444,0.4305555555555556,1,8.11111111111111,592.5865082746473,21333.1142978873
21,Navy Yard - North Brooklyn IBZ - Sunnywide,1219,0.7243642329778507,0.8031173092698933,0.12387202625102543,NA,0.26538146021328957,0.7087776866283839,0.5660377358490566,0.3158326497128794,0.8810500410172273,6.891714520098441,319.2305090667141,389141.9905523245
23,Red Hook - Governor's Island,89,0.6629213483146067,0.6292134831460674,0.34831460674157305,0.15730337078651685,0.42134831460674155,0.02247191011235955,0.550561797752809,0.2893258426966292,0.7528089887640449,6.337078651685394,362.2642811748101,32241.5210245581
